ConstituentID,Nationality
2625,American
2626,American
2627,American
2628,American
2629,English
2630,French
2631,American
2632,Polish
2633,French
2634,American
2635,American
2636,American
2637,American
2638,American
2639,American
2640,American
2641,American
2642,American
2643,American
2644,English
2645,American
2646,American
2648,American
2649,French
2650,American
2651,American
2652,American
2653,American
2654,American
2656,Canadian
2658,Austrian
2659,American
2660,Irish
2662,American
2663,American
2664,American
2665,English
2667,German
2668,English
2669,American
2670,Canadian
2671,American
2672,American
2674,Russian
2675,American
2678,American
2679,Canadian
2680,American
2681,American
2682,Canadian
2683,French
2684,American
2685,American
2686,English
2687,French
2688,American
2689,American
2690,American
2691,American
2692,American
2693,American
2694,American
2695,American
2696,American
2697,Polish
2699,American
2700,South African
2701,American
2702,English
2703,French
2705,American
2706,American
2708,American
2709,American
2710,American
2711,American
2714,American
2715,American
2717,American
2718,American
2719,American
2720,American
2721,American
2722,American
2723,American
2724,American
2725,American
2726,American
2727,American
2728,American
2729,American
2730,American
2731,American
2732,American
2733,American
2735,American
2736,American
2737,American
2738,American
2739,American
2740,Canadian
2741,French
2742,Swiss
2743,American
2746,American
2747,American
2748,American
2749,American
2750,American
2751,American
2752,American
2753,American
2754,American
2755,American
2756,American
2757,American
2758,American
2760,Canadian
2761,Canadian
2762,American
2763,American
2764,American
2767,American
2770,American
2772,American
2773,American
2774,American
2776,American
2777,American
2778,Canadian
2779,American
2780,American
2781,American
2782,American
2783,English
2784,American
2785,Russian
2786,American
2787,American
2788,American
2789,American
2793,American
2796,American
2797,American
2798,German
2799,American
2800,American
2801,American
2802,American
2803,American
2805,American
2806,American
2808,French
2810,American
2811,American
2816,American
3162,American
3163,American
3164,American
3165,American
3166,American
3167,American
3168,American
3169,American
3170,American
3171,British
3172,American
3173,American
3174,American
3175,American
3177,American
3178,Colombian
3179,American
3180,Russian
3181,American
3182,American
3183,American
3184,American
3185,American
3186,Yugoslavian
3187,American
3188,Polish
3189,American
3190,American
3191,Swiss
3192,American
3193,Israeli
3194,American
3195,American
3196,American
3197,American
3198,American
3199,American
3200,Dutch
3201,American
3202,American
3203,American
3204,French
3205,American
3206,American
3208,American
3210,American
3211,American
3212,American
3214,American
3215,American
3216,American
3217,American
3218,American
3219,American
3220,American
3221,American
3222,American
3223,Cuban
3224,American
3225,American
3226,Bermudian
3227,American
3228,American
3229,American
3230,American
3231,American
3232,American
3233,American
3234,American
3235,American
3242,American
3243,American
3246,French
3249,American
3252,American
3255,American
3261,Swiss
3263,American
3269,American
3276,American
3278,French
3280,French
3282,American
3285,American
3286,French
3288,American
3289,American
3290,American
3291,American
3292,American
3293,American
3294,American
3295,American
3296,American
3297,American
3298,American
3299,American
3300,French
3301,American
3302,American
3304,American
3305,American
3306,American
3307,American
3308,American
3309,American
3310,American
3311,American
3313,American
3314,American
3315,American
3316,American
3318,American
3319,American
3320,American
3321,American
3322,French
3323,American
3324,American
3325,American
3326,American
3327,American
3328,American
3329,American
3331,American
3332,Dutch
3333,American
3334,American
3335,American
3337,American
3338,American
3339,American
3340,American
3341,American
3342,American
3343,American
3344,American
3345,American
3346,American
3348,Chinese
3349,American
3350,Mexican
3351,Portuguese
3352,American
3353,American
3354,Spanish
3355,American
3356,American
3358,Canadian
3359,Spanish
3360,Spanish
3361,English
3363,American
3364,American
3366,Japanese
3367,Spanish
3368,American
3369,Canadian
3370,French
3372,American
3373,French
3374,American
3375,Italian
3376,American
3377,American
3379,American
3380,American
3381,American
3382,American
3383,American
3384,American
3385,American
3386,American
3387,American
3388,American
3389,American
3390,American
3391,American
3392,American
3393,American
3394,American
3395,American
3396,American
3397,American
3398,American
3399,American
3400,American
3401,American
3402,American
3403,American
3405,American
3406,American
3407,American
3408,American
3409,American
3410,American
3411,American
3412,American
3413,American
3414,American
3415,American
3416,American
3417,American
3418,American
3419,American
3420,American
3421,American
3422,American
3423,American
3424,American
3425,American
3426,American
3427,American
3428,American
3429,American
3430,American
3431,American
3432,Swedish
3434,American
3436,American
3437,Swiss
3438,Swiss
3439,Swiss
3440,Norwegian
3441,American
3442,Dutch
3443,Moroccan
3444,Mexican
3446,American
3447,American
3448,American
3449,Austrian
3450,German
3451,Brazilian
3452,Brazilian
3453,Brazilian
3454,Austrian
3455,American
3456,American
3457,Swiss
3458,American
3459,Swiss
3461,American
3463,American
3464,American
3465,Greek
3466,American
3467,American
3468,American
3469,American
3470,American
3471,American
3472,American
3474,American
3475,Mexican
3476,American
3477,American
3478,American
3479,American
3480,American
3482,Spanish
3483,Italian
3484,American
3485,American
3486,American
3488,English
3489,American
3490,American
3492,American
3493,American
3494,German
3495,Japanese
3496,American
3497,American
3498,Moroccan
3499,Italian
3500,Italian
3501,American
3502,American
3503,American
3504,American
3505,American
3506,American
3507,American
3508,American
3509,American
3510,American
3511,American
2817,American
2818,American
2819,American
2820,American
2821,American
2822,Japanese
2823,American
2824,American
2825,American
2828,American
2835,American
2836,American
2837,American
2838,German
2840,American
2841,American
2842,American
2843,French
2844,American
2849,American
2850,American
2851,American
2853,American
2854,American
2856,American
2857,American
2858,American
2859,American
2860,Swiss
2861,American
2863,American
2864,American
2865,American
2866,American
2867,American
2868,American
2869,American
2870,American
2871,American
2872,American
2873,American
2874,American
2875,American
2876,American
2877,American
2878,American
2879,American
2881,American
2882,American
2883,American
2884,American
2885,Vietnamese
2886,American
2887,American
2888,American
2889,American
2890,American
2891,American
2892,American
2893,American
2894,American
2895,American
2897,American
2898,American
2900,American
2901,American
2902,American
2904,American
2905,American
2906,American
2907,American
2908,American
2909,American
2910,American
2911,American
2913,American
2914,American
2915,American
2916,American
2917,American
2918,American
2919,Canadian
2920,American
2921,Brazilian
2922,American
2923,American
2924,American
2925,American
2926,American
2927,American
2928,American
2929,American
2930,American
2931,American
2932,American
2933,American
2934,American
2935,American
2936,American
2937,American
2938,American
2939,French
2940,American
2941,French
2942,American
2943,American
2944,American
2945,American
2946,American
2947,American
2948,American
2949,American
2950,American
2951,American
2952,American
2953,American
2954,American
2955,American
2956,American
2957,American
2958,American
2960,American
2961,American
2962,American
2963,American
2964,American
2965,American
2967,American
2968,American
2969,American
2970,American
2971,American
2972,American
2973,American
2974,American
2975,American
2976,American
2977,American
2978,American
2979,American
2980,American
2981,American
2982,American
2983,American
2984,American
2985,American
2986,American
2987,American
2988,American
2989,American
2990,American
2991,American
2992,American
2993,American
2994,American
2995,American
2996,American
2997,American
2998,American
2999,American
3000,American
3001,American
3002,American
3003,Colombian
3004,American
3005,Brazilian
3006,American
3007,American
3008,American
3009,American
3010,American
3011,American
3012,Japanese
3014,English
3016,American
3017,American
3020,American
3021,American
3023,Canadian
3025,American
3026,American
3027,American
3031,Ukrainian
3032,American
3033,American
3035,American
3036,American
3037,American
3038,American
3039,English
3041,American
3042,American
3043,American
3044,American
3045,American
3046,American
3047,American
3048,German
3049,American
3050,American
3051,American
3052,American
3053,American
3054,American
3055,American
3056,American
3057,American
3058,American
3059,American
3060,American
3061,American
3062,German
3063,American
3064,American
3065,Danish
3066,American
3067,American
3068,American
3069,French
3070,American
3071,American
3072,French
3073,American
3074,American
3075,American
4455,American
4456,American
4457,American
4458,American
4461,American
4463,American
4464,American
4465,American
4466,American
4467,American
4468,American
4469,Austrian
4470,American
4471,American
4472,American
4473,American
4474,American
4475,American
4476,German
4477,American
4478,American
4479,American
4480,American
4481,American
4482,American
4483,American
4484,American
4485,American
4486,American
4487,American
4488,English
4489,American
4490,American
4491,American
4492,American
4493,Scottish
4494,American
4496,American
4498,American
4499,American
4502,American
4503,American
4504,German
4505,American
4506,Italian
4507,American
4509,American
4510,American
4511,French
4512,American
4513,French
4514,American
4515,American
4516,American
4517,American
4518,South African
4520,English
4521,American
4522,German
4523,American
4524,French
4525,American
4526,French
4527,American
3512,American
3513,Italian
3515,French
3516,American
3517,Indonesian
3518,Spanish
3519,British
3520,American
3521,American
3523,American
3524,French
3525,Austrian
3526,English
3528,American
3529,American
3530,Zanzibarian
3531,Tanzanian
3532,Portuguese
3533,American
3534,American
3535,American
3536,American
3537,American
3538,American
3539,American
3540,American
3541,American
3542,American
3543,American
3544,American
3545,American
3546,Canadian
3547,Palestinian
3548,Italian
3549,Italian
3550,Italian
3551,American
3552,American
3553,American
3554,American
3555,American
3556,American
3557,American
3558,American
3559,Spanish
3560,American
3561,American
3562,American
3563,American
3564,Colombian
3565,American
3566,American
3567,American
3568,American
3569,American
3570,American
3571,German
3572,American
3573,American
3575,American
3576,American
3577,American
3578,American
3579,American
3580,American
3581,American
3582,American
3583,American
3584,American
3585,American
3586,American
3587,American
3588,American
3589,American
3590,American
3591,American
3593,American
3594,American
3595,American
3596,American
3597,American
3598,English
3599,British
3600,American
3601,American
3602,American
3603,German
3604,American
3605,American
3607,American
3608,American
3609,American
3610,American
3611,American
3612,American
3614,American
3616,American
3617,American
3618,American
3619,American
3620,American
3621,American
3622,American
3623,American
3624,American
3625,American
3626,American
3627,American
3628,American
3629,American
3630,American
3631,American
3632,American
3633,American
3635,American
3636,American
3637,American
3638,American
3639,American
3640,American
3641,French
3642,American
3643,American
3644,American
3645,American
3646,American
